x	y
1.043	3.7175
1.045	2.8675
0.729	2.7375
0.609	3.4625
0.553	2.6425
1.001	2.7525
0.869	0.9675
0.805	2.1475
0.523	1.2475
1.495	1.7825
1.261	3.0175
1.281	2.4225
1.099	1.1675
1.029	2.9725
1.109	2.4675
0.939	3.3375
0.859	1.4275
1.551	1.0075
0.929	3.7275
1.405	2.9575
0.983	1.3725
0.825	2.5925
0.883	3.2675
1.475	3.2275
1.299	2.2475
0.887	2.2075
0.887	3.5375
0.685	2.8175
0.887	2.9475
1.539	3.5875
0.465	3.5675
1.079	1.2175
0.967	1.9075
0.735	2.3075
1.201	0.8625
1.525	2.2625
0.803	3.6475
0.549	2.6125
0.281	2.6475
1.157	1.9025
1.535	2.5875
1.457	1.8425
1.071	1.2125
1.147	2.5775
1.269	1.5625
1.207	3.0875
1.005	3.2625
0.221	2.4175
1.573	2.4425
1.255	4.1625
0.783	2.2875
1.147	3.4375
0.697	2.3275
1.499	3.5375
0.649	2.2625
1.375	4.6325
0.353	4.1925
0.641	2.5075
1.277	4.5525
0.853	3.0625
0.471	1.9825
0.429	1.8675
1.217	3.4475
0.891	2.7925
1.383	1.1525
0.805	3.6525
1.625	3.1225
0.635	2.2875
0.527	1.8025
1.135	0.8125
1.545	2.2325
1.141	4.1175
1.007	2.7625
0.723	2.2725
1.279	0.5925
0.739	1.8725
0.741	3.1825
0.595	3.6325
1.431	4.0025
0.445	1.7575
1.367	3.9025
0.889	2.3325
1.283	3.0125
0.755	3.1175
1.013	3.6175
1.177	0.4975
0.933	2.5025
0.995	2.5875
0.693	1.5575
1.195	2.6325
0.561	1.2225
1.447	1.8125
1.821	3.3775
1.625	1.9925
0.915	3.9475
0.571	2.4775
1.723	1.5775
1.091	1.0425
1.495	1.0875
1.009	2.4275
1.183	3.1975
1.121	3.0475
1.157	0.8975
1.391	1.0125
1.185	1.9275
0.691	2.6575
1.459	2.8725
1.211	1.3375
0.565	1.4025
1.139	1.9275
1.057	3.9475
0.795	0.5675
1.253	3.2375
0.295	2.4875
1.105	2.3325
0.945	2.8225
1.181	2.5775
1.545	2.9475
1.603	3.5475
0.733	2.7575
0.717	2.3075
1.023	1.6225
0.969	3.2775
0.567	2.7125
0.763	2.5025
1.655	2.0875
1.579	0.9325
1.033	1.1125
0.889	3.2625
1.367	2.3075
0.685	1.2975
0.325	2.5125
1.757	2.2175
0.535	3.0275
1.513	1.6125
0.739	2.4925
0.491	3.4475
1.363	1.9725
1.263	3.3475
1.521	2.3625
1.175	3.0625
1.361	2.1575
1.051	1.6625
0.933	0.9175
1.169	1.0475
1.513	3.9325
0.495	2.9225
0.629	0.9625
1.025	3.5775
1.569	1.5875
1.329	1.4525
0.687	1.2675
0.863	2.9025
0.675	2.8575
1.171	3.8725
0.609	1.4075
1.431	2.8275
1.467	2.4125
0.521	3.0325
0.221	3.3675
1.103	2.3975
0.965	3.0625
1.151	3.0825
1.119	3.2625
0.321	3.0925
1.257	1.5375
0.377	1.8025
1.923	1.5625
0.835	3.3725
0.883	3.5625
1.273	3.8575
1.433	1.8375
1.175	0.9825
0.859	2.5925
0.885	2.8575
0.997	2.6875
1.173	3.0075
0.913	3.2775
1.315	2.0875
0.487	1.8975
1.013	3.3975
1.599	1.8725
1.391	2.4875
0.415	2.1175
1.097	2.7375
0.957	2.1575
1.093	2.8175
1.659	0.8975
1.201	3.6375
1.137	1.3225
0.627	1.4525
1.295	2.7625
1.173	2.4925
0.665	1.2425
1.019	3.3225
0.605	2.2575
1.245	2.1025
0.399	1.5675
1.069	1.7075
0.769	3.4225
1.197	2.5225
1.045	3.1975
0.367	2.3475
0.653	1.4875
0.793	1.4925
1.081	2.9425
0.301	1.4225
1.151	2.6475
1.335	1.7975
0.689	3.9825
0.801	4.0425
1.365	3.8975
1.199	1.5625
0.821	2.9025
1.085	3.0225
1.405	3.6275
0.699	1.0825
1.191	2.7125
0.681	2.6525
0.841	3.6575
0.317	3.9325
0.649	2.8475
0.577	2.2925
0.979	3.1775
0.941	3.0775
0.759	2.5625
0.529	2.3475
1.213	2.9175
0.933	4.0575
1.503	2.2975
0.631	1.8125
1.763	1.8925
0.815	2.0775
0.697	1.7075
0.695	0.7575
0.663	2.9475
1.121	3.6275
1.127	4.4325
1.221	2.7525
1.599	1.2725
1.447	2.4375
0.745	0.2975
0.611	1.1975
1.745	3.0725
0.449	1.3075
0.379	2.5975
0.813	2.7875
1.295	4.4525
0.441	3.7475
0.637	3.9875
0.861	1.5725
0.403	1.0975
0.709	1.6225
1.253	3.1825
1.297	1.8625
1.115	2.5325
0.551	2.8525
1.283	2.1225
1.309	1.4625
0.567	2.0825
0.317	2.4975
0.989	1.5625
1.257	2.0325
1.235	2.6975
1.241	1.6475
1.203	1.9125
0.537	2.3025
0.399	3.1325
0.493	1.7025
1.123	1.2775
1.357	1.7825
0.543	2.8875
1.155	1.6075
1.427	0.8975
1.537	2.9725
1.341	4.0075
0.883	2.4575
1.599	3.0425
1.497	2.3025
1.043	3.6775
1.437	1.9825
0.395	3.3725
1.315	1.8075
0.857	3.4025
0.697	2.3225
1.127	3.4725
0.715	3.3975
1.293	3.8125
0.349	1.8725
1.175	2.0675
1.031	1.7125
0.873	1.1275
0.747	2.5575
1.487	3.3125
0.381	2.9875
1.109	4.0675
0.559	2.9125
0.973	3.3225
1.371	3.6425
0.777	1.0875
0.637	1.5125
1.057	1.9225
1.085	3.8325
1.117	2.0175
1.267	1.4925
1.231	2.0775
1.443	3.4025
0.801	2.3275
0.355	3.1675
0.689	1.3225
0.215	3.5975
1.655	1.6475
0.507	0.6975
0.687	2.1375
1.115	1.1675
0.805	3.6175
0.791	1.3375
0.741	2.8975
1.159	3.1125
0.833	0.8025
0.683	1.5875
0.241	3.4225
1.405	4.2125
0.879	2.2025
1.111	1.9425
0.543	2.2825
0.305	2.1275
0.913	1.6475
1.121	2.1125
0.231	2.5675
0.785	4.0925
0.895	2.6075
0.585	1.4275
1.259	3.3975
1.187	3.6025
0.709	3.9925
0.741	0.8625
1.347	1.7575
1.269	2.0175
0.429	2.7175
1.363	3.1075
0.439	2.1725
0.889	2.5475
0.763	3.1375
1.343	2.6825
0.917	1.5925
0.721	1.0325
1.685	3.2975
1.491	2.8225
0.827	1.6825
0.481	2.0075
0.411	2.8725
1.461	0.4925
1.369	1.9975
1.321	2.2725
1.485	1.7775
0.583	1.8575
1.069	0.7225
0.681	2.3075
0.981	2.6825
1.113	2.9175
0.601	0.8275
1.035	2.0175
1.407	1.3775
1.141	4.0675
0.541	3.1875
0.561	3.2975
0.949	1.7625
1.365	2.3925
1.523	0.9625
0.757	1.5725
1.265	3.1575
1.599	2.5425
1.025	3.3125
0.937	1.4575
1.623	3.5975
0.697	2.5575
0.497	1.1675
0.439	3.4175
0.677	1.0025
0.895	1.6525
0.597	1.0975
0.963	2.4725
1.011	2.1575
0.307	0.6925
0.715	2.0575
0.799	2.4225
1.357	1.7475
0.699	3.8075
0.923	3.3625
0.837	2.9625
1.069	1.9025
0.781	1.9275
0.645	4.6325
1.307	4.6275
1.177	1.0325
1.505	1.8225
1.333	2.1475
0.609	3.0925
1.465	2.3125
0.953	0.5875
1.303	3.0475
0.887	2.7575
1.131	1.4425
1.211	2.8775
1.243	2.1975
0.747	3.4875
0.767	2.2525
0.853	1.9625
1.079	3.4125
1.409	1.7675
0.791	2.5225
1.193	2.4975
1.287	2.5025
1.461	1.7025
1.485	3.6475
0.665	3.3125
1.463	2.2275
1.157	1.5875
0.987	2.0175
1.713	2.6825
1.279	2.0375
0.763	1.9625
1.079	2.5325
0.815	4.2425
1.409	2.3125
1.349	2.6075
1.681	2.5175
0.851	1.4425
1.311	2.0175
1.489	2.4525
0.747	2.2825
0.907	3.3475
1.089	3.3625
1.373	1.5575
0.447	3.4625
1.417	1.2825
0.825	3.5175
0.567	2.7425
1.817	2.4925
1.031	2.9125
1.523	1.6875
0.545	1.5475
0.863	2.1875
0.607	2.6825
0.985	3.6275
0.535	2.9475
1.301	2.1775
1.429	2.5325
1.253	2.6575
0.831	3.2625
1.341	3.0275
0.895	1.5375
0.959	1.6075
0.185	2.2425
1.265	3.2775
1.039	2.6375
0.985	3.8225
0.877	2.3925
0.529	1.5125
0.937	2.0675
0.949	3.0575
0.843	1.6975
0.813	3.6875
1.075	3.2975
1.311	2.6425
1.537	2.0025
0.817	1.3225
1.279	2.3575
1.149	2.0325
0.807	3.0775
1.361	2.2125
1.247	1.9875
1.819	3.1225
0.897	1.5075
0.645	1.9925
0.791	2.3925
0.831	2.8175
0.945	1.9875
0.787	3.7175
0.739	1.3775
1.275	2.3725
1.421	2.1475
0.843	1.6775
0.939	2.5025
0.785	1.9525
1.343	1.5925
0.525	3.6825
1.533	2.6225
1.241	1.5725
0.985	3.2025
0.549	1.9775
0.565	3.5825
0.521	1.5575
0.423	1.6225
1.355	1.1675
0.827	1.0425
1.531	1.7625
0.923	3.0725
1.211	2.0975
1.265	1.7675
1.353	4.3875
0.971	1.5625
1.429	4.3725
0.415	1.2325
1.041	1.1675
1.461	2.2375
0.833	2.8325
0.507	2.7525
0.471	2.4925
0.947	2.7725
1.627	2.3725
0.893	0.4925
1.357	2.3925
1.155	3.6025
1.509	1.3675
1.023	2.8775
1.343	4.0725
1.335	3.3425
1.035	4.3875
1.145	2.6275
1.109	3.1875
0.675	3.2775
1.129	3.4975
0.667	2.2475
1.299	3.9375
1.299	2.2225
0.723	3.1675
0.803	2.6225
1.305	2.6975
0.407	2.7075
0.685	2.8525
1.045	2.9525
1.053	0.8125
1.093	2.8125
0.855	1.8925
0.709	2.6575
1.149	2.2775
1.275	2.8475
0.857	1.0425
1.179	2.1025
1.117	3.5175
1.169	3.3325
1.215	2.5125
0.629	1.9975
0.635	1.3625
1.035	2.6075
0.963	3.6825
0.891	2.2475
0.879	3.2625
0.649	1.5425
0.809	2.0075
1.565	1.5825
0.685	1.5025
0.795	3.3475
0.685	2.2425
0.285	1.1925
1.363	0.5325
0.587	2.5725
0.735	3.6625
1.107	2.8125
0.505	4.4875
1.501	2.7575
1.085	3.7075
1.233	4.1925
0.919	1.9475
0.413	3.5825
1.277	2.1925
1.471	3.1875
1.343	2.0125
0.299	1.2575
0.849	1.6825
1.429	1.9875
0.909	3.5375
1.585	1.6175
1.103	2.2725
1.803	3.2875
0.725	1.5675
1.567	1.6625
1.271	1.7825
1.091	2.8325
0.957	0.2925
0.373	1.3725
0.283	0.7775
1.381	1.0325
1.507	1.7675
1.253	2.5375
0.731	2.3975
0.337	2.6425
0.911	4.2575
0.477	2.3625
1.057	2.8575
0.233	4.0575
0.763	1.9575
0.773	1.8725
1.301	2.1725
0.747	4.4025
0.225	2.7025
0.879	3.0125
0.963	4.3925
1.121	3.9225
0.883	2.6475
1.847	3.4725
1.277	3.6825
1.289	1.9325
0.951	4.4775
0.531	3.2525
1.683	2.8475
1.405	3.3075
1.495	2.1125
0.631	2.0275
1.281	1.4525
1.305	1.6275
0.625	2.7225
0.447	1.7875
0.635	2.3025
0.445	1.2775
0.687	2.6975
0.687	1.8725
0.941	3.4775
0.649	2.4725
1.129	1.8175
0.335	2.8925
1.443	3.0475
1.021	2.9975
1.289	0.8025
0.493	2.3225
1.191	2.0475
1.521	4.0275
0.105	1.8525
0.781	2.4675
1.133	2.3625
1.205	1.9175
0.523	3.0775
1.017	2.3725
1.421	2.2425
1.215	1.3325
1.417	1.8525
1.243	3.0275
0.819	2.6225
0.987	2.3625
1.501	0.8725
1.087	3.5925
0.785	2.8475
0.839	2.1125
0.771	3.2325
1.077	1.4425
1.057	1.2225
1.103	2.8525
0.763	3.6825
0.675	2.4325
1.637	1.3425
1.403	0.8175
0.643	1.8275
1.219	1.2625
0.913	3.1425
1.321	0.5175
0.707	2.6025
1.009	3.4725
1.069	1.0575
1.701	1.9575
1.295	3.6525
1.007	2.9675
0.995	1.6075
1.491	3.2675
0.729	2.6325
1.169	1.9425
0.959	2.3325
0.485	1.4275
1.359	0.9075
1.765	2.9325
1.357	3.4525
1.479	3.0975
1.259	3.5275
1.691	3.5575
0.453	2.4025
0.887	2.7075
0.911	1.1475
1.021	2.8075
1.701	3.7425
0.935	3.2625
0.863	0.6075
0.883	1.9475
1.331	1.9575
1.371	2.3725
0.961	2.6225
1.633	1.7625
0.593	2.5975
1.627	1.6425
1.381	1.8625
0.507	3.4475
1.395	3.0225
0.987	2.4425
0.767	0.5775
1.059	1.4975
1.153	2.4425
1.521	1.3275
0.945	2.5725
1.375	0.8975
1.757	1.8275
1.041	2.1525
0.879	2.3325
1.409	2.8875
0.409	2.9025
1.605	2.6325
0.707	1.0625
0.683	1.2425
1.437	1.3625
0.321	0.8175
0.513	0.9025
1.409	1.6375
1.217	3.3225
1.351	3.5875
0.567	0.7125
1.213	3.5575
1.155	0.7675
1.273	1.9325
