id	n = 1	n = 2
1	3.1935	1.4605
2	2.4675	2.0845
3	2.1415	3.7535
4	0.7005	1.1605
5	1.5815	3.5895
6	2.6495	3.6915
7	0.9105	2.0485
8	2.1215	1.6355
9	2.6715	0.8265
10	0.6085	0.8205
11	2.8435	3.7455
12	3.5665	4.0905
13	2.8705	3.6935
14	2.7495	2.7155
15	1.4095	4.2375
16	3.3195	4.1945
17	3.5135	4.0575
18	2.3635	3.8995
19	0.8115	3.8635
20	3.9275	3.9535
21	3.4915	1.1155
22	2.6805	3.3665
23	2.3965	1.4155
24	3.4495	3.9275
25	2.2345	3.3575
26	3.3675	1.0185
27	1.3595	1.3515
28	1.1905	3.3415
29	2.0225	4.6945
30	3.1355	3.7215
31	1.6835	3.9385
32	1.9455	3.4735
33	2.1385	3.9335
34	0.2535	3.6245
35	3.4185	0.6265
36	3.7035	3.0535
37	2.8475	3.8915
38	2.6855	1.5755
39	1.4615	0.5565
40	2.7505	3.3655
41	2.6295	4.6765
42	2.2055	1.4035
43	2.5555	1.1555
44	2.2915	0.8455
45	2.8865	4.0605
46	2.5855	3.6005
47	3.0355	1.5485
48	1.3265	3.8005
49	2.9865	4.0095
50	4.0015	1.0985
51	3.0295	3.5715
52	2.4085	1.4375
53	1.5485	1.7425
54	3.6455	4.2275
55	3.9115	0.6355
56	3.0655	1.3435
57	1.0655	0.4885
58	2.7385	0.7425
59	3.8185	0.6725
60	2.7035	3.4605
61	1.7795	1.8475
62	2.3865	1.0205
63	3.7855	1.4015
64	3.6105	0.5235
65	2.3895	0.4305
66	3.3065	4.1505
67	1.8335	4.3955
68	1.1965	4.3775
69	2.2825	0.8505
70	2.9695	3.6845
71	3.0165	0.7965
72	1.2525	3.6825
73	3.4795	1.0585
74	3.0595	4.2525
75	3.5745	3.7395
76	2.1755	4.4825
77	1.3985	4.2335
78	1.7095	4.1585
79	2.4605	4.4575
80	1.2345	4.3505
81	2.4785	3.9765
82	1.8155	3.3305
83	3.7485	1.9705
84	2.0255	4.0445
85	2.9415	3.5605
86	1.6635	1.7785
87	2.8535	1.5525
88	3.0655	1.7135
89	3.1555	3.5995
90	3.4065	4.1615
91	1.8325	1.1205
92	2.2945	4.5425
93	2.1245	1.0785
94	2.3075	0.7465
95	3.6755	3.9375
96	2.2005	1.6065
97	3.3025	1.5545
98	2.4085	4.1175
99	3.5385	1.1795
100	1.4895	4.5625
101	1.2515	3.8865
102	2.6795	0.8295
103	0.5935	0.8335
104	1.9805	0.7285
105	2.0745	0.9005
106	3.3215	3.7465
107	3.7915	4.2935
108	2.5775	3.2835
109	1.8605	2.0035
110	2.1155	0.4345
111	2.8585	3.2465
112	3.5265	2.8185
113	2.9385	0.5385
114	2.1015	3.3175
115	3.0815	3.6115
116	1.6425	1.3355
117	1.8525	3.4205
118	3.2805	4.3225
119	1.9565	1.2265
120	1.1395	3.9955
121	3.3735	1.3755
122	1.9815	4.0195
123	3.1475	1.3145
124	0.8745	0.6125
125	1.7555	3.8275
126	1.9245	4.2605
127	3.8925	3.8015
128	3.2425	1.6055
129	2.4955	3.0125
130	2.1645	1.2085
131	2.4655	3.7345
132	3.5405	0.7235
133	3.7305	0.2875
134	3.5825	1.3345
135	3.3875	3.5915
136	0.6885	3.1305
137	2.4705	4.1635
138	2.7735	2.9885
139	1.1435	4.1045
140	3.2645	1.2195
141	1.8635	1.4155
142	2.5185	1.2805
143	1.5705	4.3745
144	4.2735	3.3335
145	3.5605	3.6275
146	2.8715	2.0865
147	2.0115	4.1665
148	3.1065	1.8435
149	1.2315	3.5435
150	2.0115	4.1005
151	2.0255	4.2045
152	4.6035	2.7845
153	1.7335	4.8355
154	2.9235	3.0185
155	2.7055	3.1765
156	1.7395	1.8195
157	1.9475	1.8365
158	1.9415	3.4075
159	2.7615	3.7925
160	3.7435	1.5565
161	2.9995	1.5875
162	4.1645	1.6325
163	1.9415	4.5315
164	3.7835	1.2215
165	3.9845	1.4035
166	2.8865	1.4465
167	1.2055	3.3385
168	2.0495	0.7965
169	3.1415	0.9955
170	3.8095	0.8515
171	2.0095	0.7285
172	2.4545	4.2105
173	1.6655	3.0555
174	2.4025	1.8685
175	2.0995	3.9095
176	2.9225	1.4435
177	2.9125	0.5245
178	3.5425	0.6925
179	2.0405	2.1775
180	2.3925	1.1645
