number-of-elementary-fragments-per-axis	no-concurrency	concurrency-2-workers	concurrency-3-workers	concurrency-4-workers	concurrency-5-workers	concurrency-6-workers	concurrency-7-workers	concurrency-8-workers	concurrency-9-workers	concurrency-10-workers
1000	0.16	0.063	0.057	0.045	0.036	0.037	0.027	0.027	0.033	0.02
2000	0.646	0.273	0.182	0.158	0.146	0.142	0.13	0.113	0.128	0.071
3000	1.391	0.77	0.372	0.276	0.266	0.289	0.289	0.25	0.287	0.155
4000	1.893	1.366	0.703	0.534	0.467	0.566	0.445	0.47	0.507	0.258
5000	2.909	1.642	1.15	0.828	0.749	0.961	0.768	0.687	0.681	0.365
6000	3.844	2.317	1.699	1.163	1.204	1.379	1.191	0.989	0.951	0.511
7000	5.63	3.742	2.677	1.93	1.583	1.478	1.638	1.478	1.257	0.684
8000	8.361	4.632	3.031	2.247	1.853	1.951	1.894	1.871	1.927	0.876
9000	9.633	5.653	4.107	3.007	2.442	3.029	2.332	2.046	2.303	1.12
10000	12.387	7.03	4.619	3.55	3.003	3.14	3.1	3.049	2.765	1.362
